username,published_at,comment
@Grisheel,2025-03-15T00:30:53Z,Katanya di kora itu gak punya tuhan jadi kalau ada masalah itu pasti bunuh diri..itu karena mereka tdk punya agama
@chynics,2025-03-15T00:14:10Z,"Thankyouuu mas hansol, gw tau jg kronologiny, soalnya pas temen ceritain sempat kaget jg krna gatau apa2"
@wibu-satanis,2025-03-15T00:08:37Z,"Drama korea yg sebenarnya ya ini. Inilah drama yg asli, no fiksi fiksi"
@yoshinori.is.precious,2025-03-14T23:55:36Z,8:50  iya intinya sih pedopic wkwkwk 16 kan belum legal ya di korea
@krisnacipong2379,2025-03-14T23:32:07Z,Jahat banget🥹🥹🥹
@toxicindo8254,2025-03-14T23:31:50Z,Kehidupan artis di korea parah amat ya. Gara2 mabok nabrak aja sampai di bully satu negara. Nitizen korea lbh parah drpd di indo hahaha itu berarti tradisi bully korea sejak sekolah emng fakta ya. Banyak artis bundir krn kasus sepele tp nitizen nya menghakimi. Ternyata pendidikan itu tdk penting. Kan org korea pendidikan nya bagus tp otak nya aja yg ga bagus. Bersyukur nitizen indo masih ngotak kl ada berita soal artis. Tdk sampai bully org.
@xxta__,2025-03-14T23:25:36Z,"Lagi kepo langsung muncul di beranda, aku gasin aja"
@elviranuroktaviana5263,2025-03-14T23:22:38Z,Ga mu percaya artis lagi 😢
@camilaparamithahelmakusuma171,2025-03-14T23:15:25Z,"Dari ini.. Wanita hrs pintar.. Menghadapi laki2.. Jngn bodoh.. Mandiri.. Trs jg.. Aq jg pernah.. Terkadang kita. Sdh putus lama dg pacar. Tp tetap cinta , tetap merasa jd pacrny, dan mengungkit hubungan.. Terlepas dr masalah hubungan kim shaeron... Semoga jd pengalaman kita para wanita u pintar dan berhati2 sayang2 tp hrs profesionsl jk kerja jelas profesional dlm hal bersifat kerj n materi"
@icselina784,2025-03-14T23:00:45Z,"Sekejam itu dunia entertaiment korea,, Klo g kuat mental bsa bundir juga,,,
Smoga kim saeron tenang dsana"
@LinaAszan11,2025-03-14T22:50:20Z,Gila ini KSH di bully terus lama2 dia jg bundir lagi
@keevmary,2025-03-14T22:40:09Z,Dan org indonesia masih belum cancel aliando syarief sampe saat ini wowkwowwkwo
@kartanegar,2025-03-14T22:28:07Z,Aku gk tau ini channel apa lewat di beranda aja tapi makasih infonya gk terlalu berguna buat saya
@bangtri_pinjol,2025-03-14T22:03:59Z,"di korea ..artis mabuk n nabrak   sesuatu dipinggir jalan .. lngsung di cancel disemua medsos,tv.. dihujat ramai2.. blum ganti rugi nominal besar..
di indo artis di penjara juga bisa tetep masuk tv .. hahahahaha"
@Hongluopo,2025-03-14T21:55:19Z,"Netizen pada plin plan.. kemarin pada kemana aja waktu saeron lagi jatuh,malah pada ngehujat.apa aja yg ia lakukan salah di mata netizen.sekarang orang nya udah tidak ada baru nyanjung2,ngasih support.media dan netizen sungguh menakutkan"
@INgame552,2025-03-14T21:39:08Z,"Kalau informasi ini tidak betul kan jadinya fitnah, kasihan kim soo hyun"
@ekama3307,2025-03-14T21:24:58Z,MATURSUWON MAS HANSOL
@SitiNurarifah-vw1bp,2025-03-14T21:15:01Z,Entertaiment korea pasti kejam dan licik deh.. pantes yaa banyak artis yg bundir.
@AndikaPratama-c6w,2025-03-14T21:12:49Z,Bukankah yg paling beesalah adl kwluarganya ??? Bekerja dr kecil tapi malah menumpuk hutang ??diexploitasi hBis hBisan dr kecil 😢bukankah itu menyedihkan
@SitiNurarifah-vw1bp,2025-03-14T21:00:32Z,"Suka peran ksh di its oke not to be ok, tp habis itu udh ga ngikutin drama2nyaa wkwkwk suka sm perannya bukan org nya"
@LorisaPingkiyana-to9dv,2025-03-14T20:21:09Z,De dulu gak suka SM kim so hyun
@jang_jun_woo,2025-03-14T20:05:34Z,Masaaa iyaaaa😢
@syalalanuna3059,2025-03-14T19:44:17Z,"Ditengah kepusingan sama berita ini, cuma mas Hansol yg ga bikin pusing😂❤"
@scroll2ajah,2025-03-14T19:32:12Z,"G pnah suka sm ksh at all.. feelingku bner brrti, ad yg g bner dgn dia... ksr korban nya..."
@Irfanokeje2,2025-03-14T18:41:16Z,Mantap chanelnya jelas runtutan ceritanya 🙏
@jacksubarja1566,2025-03-14T18:35:25Z,"tks Korea reomit, update terus ya kasus Kim Sae Ron (KSR) ini, turut berbela sungkawa buat KSR, tapi gw suka KSH sejak My Love from the Star dan Queen of Tears, gk percaya KSH yg buat surat tagih 700 juta won, tolong please kedepankan prinsip presumption of innocence, orang tidak bersalah sampai terbukti bersalah, jadi jangan terjebak kepada suudzon, KSH oppa yg tegar yaa, fighting ...."
@galitaMiina,2025-03-14T18:16:17Z,"Oppa, na Saeron i ya
Mas, iki aku Saeron

Ohhhh jelas informal"
@faizihzafailasuf,2025-03-14T17:49:00Z,"""Tetangganya bilang kalau dia baru tau lewat artikel kalau tetangganya adalah aktris Kim Saeron. Dia inget kalau sang aktris sering menangis di lorong tangga bangunan tersebut"" kemarin baca tweet ini langsung maknyes, mesti diantara kalian pernah dalam hidup dapat cobaan trus nyari tempat sepi buat nenangin diri, bayangkan seberat apa kehidupan Kim Saeron sampe sering melakukan hal tersebut, semoga keadilan itu segera ada"
@AbdulRahim-q4y,2025-03-14T17:34:20Z,"Bahkan won bin sampai turun gunung menghadiri pemakaman Kim sae ron. Ingat ya, itu won bin sampai hadir😢."
@im6976,2025-03-14T17:31:20Z,Reporter jjahat jika bisa di hukum seberat-beratnya
@yuriakemi9030,2025-03-14T17:02:24Z,dari kejadian kim saeron ini kok saya jadi curiga sama kematian sulli. 😢 R.I.P kim saeron
@yumin93,2025-03-14T16:46:44Z,"Mas hansol, Lee Jin Ho posting tengang issue ini semalem, biasa ngak bahas tentang itu , kok kenapa dia nggak merasa bersalah sama sekali, anehnya dia hapus video mengenai kim saeron. Juga apakah dia tidak kena dampaknya"
@byanca7411,2025-03-14T16:43:55Z,"setelah nonton video ini, masuk akal banget kalau ini memang benar. kasihan banget 😢"
@mahsharmalinjah3809,2025-03-14T16:36:37Z,Di kupas bangat isunya....mcm bisa jadi sejarah dunia nanti..😅
@bloomsy-ry,2025-03-14T16:13:31Z,"kenapa sih hal kaya gini kebongkar kalau udah terlanjur, kan tetep aja ga adil"
@SanclausSanclaus,2025-03-14T15:59:04Z,Akhirnya 1 JT penonton ya mas hansolllllllll
@mohmulunk4565,2025-03-14T15:01:49Z,Masak penjahat pedofil walau artis ksh warga Korea g ada speak up
@RieRieBungsu,2025-03-14T14:49:06Z,Ini ortunya tau anaknya pacaran ama laki yg beda hampir 15 tahun?
@r_emon69,2025-03-14T14:46:48Z,Aku dlu pas nonton drakor man from the star gk stuju karakter dia suka anak kecil keliatan kyk ped⁰ soalnya trnyata bneran 😮
@bintikhuzaemah1059,2025-03-14T14:32:20Z,Dengar berita ini kok ngeri ya ga respect ma KSH
@Withyou0603,2025-03-14T14:28:34Z,Lihat teliti pergaulan ank muda jaman now gleno print kilo
@Withyou0603,2025-03-14T14:18:29Z,Waspada gleno kilo helo helen p no on de ki  alo jepal lihat dilayar
@evaalvionita6222,2025-03-14T14:05:37Z,dia buat snap poto kado dan party itu setelah saeron mninggal atau sebelum ya kak?
@Younjung_go,2025-03-14T13:57:16Z,15thn umur korea kah/masih 14thn untuk Sae ron?
@msmaissy,2025-03-14T13:55:37Z,ngeri bgt ga disangka2 KSH...😢
@rynn2819,2025-03-14T13:52:37Z,"Kasian yg banget yaampun uri saeron😢 pdhl nama Kim Sae Ron itu udh melekat bgt di penonton drakor karna dia udh main drama/film dari kecil kan, pas mau meninggal malah ganti nama karna saking susahnya dapet kerjaan
 sedih bgt aslii😭😭💔"
@worldspearl,2025-03-14T13:51:29Z,Rasanya pengen ngespam akun yt reporter behind_master itu deh
@ranikrisnamustikasari2700,2025-03-14T13:29:15Z,"2 hari yang lalu dah 1m views aja, ngeri emang mas hansol😂"
@temenits_zahra,2025-03-14T13:25:28Z,Segitunya sanksi sosial di Korea 😢
@riniiatika8931,2025-03-14T13:16:50Z,ksian banget kim saeron selama hidupnya yang masi dibilang muda harus berhadapan sama orang2 gila
@Noy201-i3p,2025-03-14T13:12:36Z,Lagi lagi ambil kesempatan atas nasib orang lain....ramai artis korea bu#£h diri kerana konten seperti ini....yg harus di persalahkan ialah para youtuber dan para netizen. Netizen Indonesia memang luar biasa...akhirnya siapa yg mendapat bayaran dari youtube? 😑
@NightJD,2025-03-14T12:54:42Z,Boycott KSH
@anharrifkykabira7291,2025-03-14T12:51:34Z,"Bang apa beda garo sero ,dispatch?"
@jajanbedua6204,2025-03-14T12:38:21Z,"Beda 12 tahun, berarti... Anak SD kelas 1 dipacarin mahasiswa tahun pertama? SEREM BANGET!"
@jejeee9569,2025-03-14T12:36:37Z,Ada yg bilang kim saeroon hamil ank nya ksh umur 16 tahun tapi di gugurin itu bener ga si apa hoax soalnya ad beritanya simpang siur begitu
@najmizatillah702,2025-03-14T12:22:23Z,ksh salah satu aktor fav ku😌 kecewa banget😢
@kikitarideh,2025-03-14T12:20:24Z,Kira2 gmn ya karir  kim soo hyun? Bakal hancur?
@ellyl5800,2025-03-14T11:55:56Z,Semoga ada keadilan untuk Kim Saeron..😢
@MichaelLToruan,2025-03-14T11:54:59Z,"Oohh berarti garosero itu mau menutupi berita lain, pengalihan isu"
@hyunaL20,2025-03-14T11:52:53Z,Cintalah karyanya bukan dengan kehidupan dan kepribadiannya
@Julia-jv1pc,2025-03-14T11:51:12Z,Sbnrnya uang itu buat apa ya? Masih blm paham
@Ulvi1901,2025-03-14T11:44:34Z,Selain di Korea di indo pun ada artis yang pacaran sama anak di bawah umur. Tapi tetep banyak fans yg ngedukung agak aneh tapi nyata
@ginaseptyw458,2025-03-14T11:33:25Z,masih berharap kalo sae ron ternyata cegil yg mau buktiin ke orang2 soal kebenaran ksh 🎉
@palangkinoi8198,2025-03-14T11:31:47Z,Kasus d industri film india nepotisme kalau d korea beda lagi tapi sama2 seram
@dinasetyawati2135,2025-03-14T11:26:51Z,"KSH tak sepolos wajahnya, REDFLAG..  bgst jg ternyata.. asyu!!"
@ayu2784,2025-03-14T11:23:17Z,Pelajaran kalo Oppa2 Korea sweet itu cuman akting di drama aja. Di real life banyak yang bejad.
@amandaputri9300,2025-03-14T11:15:52Z,Thank you
@irawahyuni9123,2025-03-14T11:07:06Z,"jirr kaya cerita novel.. 😂😂 tapi Asli sih kalo beneran ini jahat bet si cowoknya. pcrn lama, tapi pas ad masalah di putusin.  minta tolong pura"" gak tau .. parah sih ."
@Na.ri18,2025-03-14T11:04:56Z,"Liat balasan komen msh bnyk yg bela aktor itu,katanya keluarga mendiang playing victim jg,bundir kesalahan diri sendiri, ga tau deh saya jg nunggu kelanjutannya,klo sampe ke pihak kepolisian berarti udh fix, tp bukti"" pacaran ama ank 15 thn, bikin saya ga bisa berpihak ke aktor itu.  Saya jg bkn fans mereka sama sekali."
@edeslsgg,2025-03-14T11:04:50Z,"Di 𝐃O𝙍𝐀𝟽𝟽 saya menemukan peluang, dari penjual kaki lima jadi bos restoran."
@endroskaaj,2025-03-14T11:04:29Z,"Di 𝐷𝐎RА𝟳𝟽 saya menemukan peluang, dari tukang jahit jadi pemilik butik."
@gymelynsycho6916,2025-03-14T11:02:38Z,"Looking at this, I think people should not support any celebrity from Korea even K-pop. Every month, 1~2 celebrity suicide. Is it their fault or the fan's fault? 🤔
Honestly, her relationship with Kim Soo Hyun is in the PAST.... Now what year? 🤨 
Everyone has to move on, so why involve him only?...
Her drunk addiction, self reflects & her family's high demand. Ask her family?...now blaming 😐
Why don't you guys link to all the suicide celebrities? Koreans are the manipulator. Disgraceful & sad.😔"
@Maxi02Mendrofa,2025-03-14T10:30:42Z,"Heh jdi kepikiran dia main film sm sulli,semenjak main film bareng KSH sulli di bully habis2an dn bundir"
@MitaMita-nb8xe,2025-03-14T10:16:55Z,"Padahal faktor utama gangguan psikis kim sae ron gara2 ketikan jahat ,,,
Pas udah ga ada baru dibela
Bukan di bela si tapi kalian setiap artis maupun idol 
Kaya pelampiasan kemarahan kalian..
Benar2 krisis akhlak 
Jngan hate komen bisa ga sih
Komen secukupnya aja"
@Kriminalogy,2025-03-14T10:04:26Z,Inti ya ini sih perang agensi dan yg jadi korban seorang artis y .. gilaaa sih .. udah kaya boneka mereka .. siap2 jadi tumbal ya..
@Kriminalogy,2025-03-14T09:42:02Z,Naneun ribeut... Pusieung
@megaestiani5155,2025-03-14T09:29:16Z,Nunggu KSH kaya SJK..
@riskamustikadewi2480,2025-03-14T09:17:34Z,Kyaknya masih ada bukti yg lebih panas nihh.. Tapi ditahan dlu menunggu reaksi ksh
@Video_Asyik,2025-03-14T09:16:22Z,Makanya sekarang meski pacaran kl urusan kerjaan ttp profesional aja wkwkwk
@riskafrida4808,2025-03-14T09:10:20Z,Susah percaya sekarang kalau agensi KSH bikin klarifikasi. Tahun 2024 dibohongi bilangnya gak pacaran ternyata pacaran beneran. Gegara penyangkalan itu Kim Saeron dihujat habis-habisan.
@ismyama,2025-03-14T09:06:03Z,lee jin ho sm 1 wartawan lg gambaran jurnalis yg dibayar sm org jahat di drakor2. beneran ada euy di dunia nyata korea sana
@ismyama,2025-03-14T08:51:21Z,utangnya 8 M itu utang apa ya? beneran ky didrakor2 ya bundir spya utangnya ga ditagih lagi alias udah desperate:(. jahat sih kalau seolah2 ada utang 8M dg tujuan menyingkirkan KSR
@RandomThing-g8l,2025-03-14T08:51:17Z,Gw penggemar berat ksh denger skandalnya separah ini gw kecewa gw patah hati gw nyerah gw stand with victim
@suziiiiiiiiiiiii,2025-03-14T08:50:11Z,keep update yaa bang hanseol. gak ngerti bahasa korea + malas translate
@mbakunuls1846,2025-03-14T08:28:48Z,"1 menit pertama, mirip Chanel lambe turah kali ya kak 😄"
@stevenhiu9138,2025-03-14T08:25:21Z,yang rame di IG ternyata ini toh... terlalu banyak drama
@amchannel6167,2025-03-14T08:21:34Z,"Ya ampun baru sadar pas lewat beranda, ternyata aku udah lama ga nonton ytb mas hansol selama beberapa tahun belakangan ini :v
Pdhal dulu setiap puasa selalu jadi peneman nunggu buka puasa hihii"
@hanny2586,2025-03-14T08:11:21Z,Dr dlu g pernh ngefans sm KSH ..
@korilagomtang,2025-03-14T08:07:23Z,SUKAAA BANGET MAS HANSOL SELALU GERCEP 🤩🤩 semangat teruss !!
@qurrotulaini9487,2025-03-14T07:28:14Z,"Heran banget sama Knetz, waktu kim saeron masih ada dibully abis²an, pas sudah meninggal baru dibela mati²an 😢"
@Harvestmonmon,2025-03-14T07:27:55Z,"Redflag banget cowoknya kalo uda putus ya move on jangan mengintimidasi dan menghancurkan hidup orang.
Uda macari bocil, bodohi bocil skrg memeras bocil sampai bocilnya bundir 😢"
@krisnarisca7510,2025-03-14T07:19:25Z,"Woch chanel politik to sebelumnya,,, .?"
@oktaviasih9339,2025-03-14T07:17:03Z,jangan ada yg nonton film/drama ksh lagi yaa
@adienanurul4939,2025-03-14T07:02:32Z,"Maaf oot, aku malah lebih kasian ke ksr krn kerja dr kecil tp ga punya uang segitu? Serius? Dia artis belasan tahun gapunya aset. Jahat juga keluarganya 🥲"
@hannynuriens6278,2025-03-14T06:49:00Z,Ngga nge fans Artis korea kecuali song hye kyo
@LitaLagi,2025-03-14T06:20:09Z,Di Indonesia artis narkoba langsung diseret polisi. Di Korea artis narkoba cuma di bully doang tapi gak masuk penjara. Contohnya si top bigbang.
@LitaLagi,2025-03-14T06:17:15Z,"Korean celebs are bunch of two face snake. At least Rebel trashy Hollywood celebs are not two face snake (Leonardo, Diddy, etc). Korean entertainment need real paparazi like TMZ. Korean paparazi are BIAS and FAKE."
@putrih8643,2025-03-14T05:56:28Z,iki aku baru paham
@mamatyamamaainun,2025-03-14T05:52:48Z,"Jahat bgt asli KSH, udah macarin anak dari sejak abg belia bgt, giliran doi butuh pegangan malah ditinggalin. Parah jahattt bgt 😢"
@putritrilili,2025-03-14T05:33:23Z,"ngeliat berita ini sliweran ditiktok dan ga mudeng, akhirnya dibahas mas hansol 🫰🏻🫰🏻"
@safrinanuraini7718,2025-03-14T05:24:40Z,"disana kalau dapat kasus sekali langsung jelek image nya ya, lha di indo semakin banyak kasusnya dan kontroversi malah makin banyak yang cari"
@andini_handi,2025-03-14T05:19:40Z,"habis cancel culture song jongki dan lee seunggi, lanjut gw cancel culture kim soohyun. Gila seleb2 papan atas semua. Habis ini siapa lagi cobak"
@grenade_vasque51,2025-03-14T05:19:25Z,"hei, ingat, dia tampan, jadi dia ga bisa salah dimata fangirlnya. 😂😂😂"
@mustikaumipertiwi3384,2025-03-14T04:42:01Z,"Waduh aku suka krya mrka,apalagi aku ikutin kim sae ron dari aktris cilik.aktingnya bagus,dulu dalm ati bakl bsar spt kim yoo jung/kim so hyun.eh,trnyata😢 pas tiap dia kna masalah aku no comment,takut salag ngonong n ga ngbela juga.ga nyangka y klo mang bnr aktor kim soo hyun bgitu"
@sriirijantisoekijatsih248,2025-03-14T04:37:39Z,Mas artikel tentang Song Seung Heon dong ...idolaku dia...
@nazrinrz3397,2025-03-14T04:14:54Z,KSH pedoo njing
@yennyhermawan6191,2025-03-14T04:14:33Z,Semoga Karir KSH redup deh
@kelvinmahardika948,2025-03-14T04:10:18Z,Ak herannya g datang ngelayat sampe setega itu padahal prnh bekerja d perusahaannya d sisi lain dr mreka prnh pacaran
@hoshihoshii.,2025-03-14T03:38:34Z,"Mark my words, KSH suatu saat nanti pasti bakalan diundang lagi buat jadi actor di suatu film/drama. Orang dengan popularitas segede itu pasti bakalan lepas dari hukum, orang2 pasti bakalan maafin dia lambat laun.

Berbeda sama Saeron yang hanya dengan 1 kesalahan ngebuat semua orang berpaling dari dia. Semua kerja keras dia diabaikan begitu aja. Bertahun2 dia udah minta tolong, gaada yg dengerin. Giliran udah RIP baru orang2 terdekatnya mulai berbondong2 nongol.. apaan sih…

Double standar di Korea itu nyata, my heart goes to u Saeron.. RIP 😭😭"
@GiGhi-q4x,2025-03-14T03:17:09Z,Grooming itu apa? Ngapain? Serius nanya
@rr.putireggitaardhanaricwa2309,2025-03-14T03:15:36Z,taeil gak di bahas mas? wkwk
@ellywati3504,2025-03-14T03:15:22Z,Hati3 HBS ini Kim Soohyun yg bundir Krn kejamnya netizen di Korea 😢😢😢
@siskanurkhoiriya8785,2025-03-14T03:10:07Z,Pingin silaturahmi ke akun reporter jahat itu😂
@Iiamli007,2025-03-14T02:48:46Z,"Beberapa hari kok gad RDD, Sam? Selalu kutunggu tunggu itu RDD. Buat penggemar kdram pasti berita arces kaya video ini  lebih oke. Tapi buat yg gasuka kdrama kaya q ya ga peduli berita berita ginian, sapa itu arces yg disebutin aja q gatau LOL
 Ya mungkin penonton kaya aku minoritas tp kan mosok ga direken blas Sam"
@andrealini629,2025-03-14T02:44:41Z,"Menyukai sewajarnya jd kl ada ap² ya... Engga kaget gitu sih ...apapun itu, entah idol lah, apapun dah"
@pradiahekavarissa9174,2025-03-14T02:31:34Z,Jahatt banget sihh ya ampunnn
@dinienurdiansyah2574,2025-03-14T02:29:16Z,Tanggapan org sokor sdri gimana mas ktnya beritanya disana gak terlalu di-up?
@pitacantik3567,2025-03-14T02:18:43Z,Gadis naif polos di eksploitasi sama om om sakit jiwa
@pitacantik3567,2025-03-14T02:15:05Z,Klo ngikutin mas ahnsol jelas
@iis0967,2025-03-14T02:14:38Z,Anak perempuan bisa hancur-hancuran kayak gitu ayahnya dimana? Keluarganya dimana? Kenapa gak bisa melindungi anak sendiri dari cowok² brengsek diluar sana?
@Shalalal-ir1lb,2025-03-14T02:13:07Z,"Mending topik hangat aja tembus 1,1jt 2hari bang hansol"
@adelapurnama872,2025-03-14T02:09:56Z,❤️
@orenji2767,2025-03-14T02:04:04Z,Ngeri bgt ksh
@Feifei21,2025-03-14T02:03:13Z,"Udah, KSH tu salah lu pada gausah sok bela belain lagi. Jelas jelas pacaran sama minor aja udah salah."
@Feifei21,2025-03-14T01:58:15Z,"Kelakuan si Soohyun mirip banget sama mantan gue yg tukang selingkuh. Manipulatif, gashlight"
@dewirisdi,2025-03-14T01:43:25Z,MMBB..BEELLHLIBEDDD😂😂
@YuniKartikasari-m1f,2025-03-14T01:30:05Z,"Suwun mas hansol atas penjelasan sampean😢aku fans ksh cukup kecewa dan menyesalkan sifat buruk ksh tsb, andai dia ga bersikap looser seperti itu mgkn kehebohan ini ga akan terjadi. Sayang sekali malah ksh menghancurkan karirnya sendiri dg title dia yg saat ini adl aktor termahal😢"
@khairiyatussyifa5806,2025-03-14T01:14:29Z,Akhirnya ada yg jelasin gini.. bnyk rumor yg beredar bikin pusing dan gatau mna fakta dan hoax
@kurniawanjayakusuma1998,2025-03-14T01:09:23Z,TANGKAP LEE JIN HOO!!!
@chichiwulandari3897,2025-03-14T00:56:22Z,"Dituntut 700jt won, apa ga koleng itu otak dan tiadak tempat bersandar, negara korea mirip seperti dramanya penuh drama😂berdirilah dan sukseslah kalau uda menikah berfikirlah secara logika, karena cinta manusia bisa berubah, pelajaran yang berharga."
@imaszulaiha7061,2025-03-14T00:43:03Z,Mengapa rata2 psycho berwajah innocent ya... Herannya banyak bgt yg ttp belain dia.. klo aku dr awal liat dia jd alien tuh h suka sempet mikir kok bs nlg ganteng bgt dari sisi mananya ? Wajah aura dark gt ee tapi selera orang beda2 si ..ternyats instingku bener something wrong with him.
@moonlightpos,2025-03-14T00:42:57Z,kasian yg jd para artis baik musisi atau aktor......mereka seperti ga bs jadi diri nya sendiri....
@henanaomi322,2025-03-14T00:24:40Z,"Laki Red Flag, fans nya psti belain. Udah jelas salah."
@nurnadhirahsaing6169,2025-03-14T00:11:45Z,"Udah gak pernah ngikutin dunia K-Pop lagi, tapi entah kenapa ngeri² kali skandal di sana."
@nobody3458,2025-03-13T23:44:09Z,"aku mengikuti semua drama saeron dri dia kecil comel😢 msa tu ada banyak drama yg dia bintangi dgn high rating.. dn agak sedikit heran juga bila dia semakin remaja drama nya sudh agak kurg dan kalau ada pun sudh tidak nampak kalau dia pelakon nya 😢 aura nya sudh tidak bercahaya, rupanya dia sudh jadi mangsa pedo ya oleh si jantan rakus ini, di manipulasi sehingga saeron mgkin hilang dgn keyakinan nya sendiri bahawa dia adalah seorg artis pelakon yg punya nama besar dari si jantan ini... apakah KSH cuma menggunakan saeron untuk mendapatkn artis2 masuk ke Syarikat nya kerana Saeron adalah bisa di kira artis yg di kenali ramai kerana dia sudh berlakon dari kecil dn punya banyak contact artis2 lain ya kan."
@hazelnut6527,2025-03-13T23:34:48Z,Menakutkan sekali Knetz ya... Selain membuli mereka juga beranggapan mereka tu semua sempurna dan wajib tidak melakukan dosa.. Wajib tidak melakukan salah... Apakah mereka tidak berbuat salah? Kebanyakan artis perempuan kalau udah salah sedikit akan di bully habis-habisan... Negara kurangnya ada agama mungkin memang macam ni..... pdhal kesalahan cuma DUI tapi seolah2 suda melanggar mati ramai orang masa kecelakaan itu... Di tambah agency entertainment mereka sangat exploitasi artis naungan mereka smpai artis mcm tak ada live... Semoga mereka yang menganiaya KSR dapat balasan setimpal!!!
@kucing-p5d,2025-03-13T22:59:54Z,"Saat ini semua netizen semua menyalahkan ksh dan berempati thd ksr. Padahal kenyatannya penjahat sesungguhnya disini adalah netizen sndiri, karna merekalah yg meramaikan kasus, memblok dan menjudge ksr awal2 😊"
@miethaearth8983,2025-03-13T22:35:34Z,Tpi kenapa dia tetap bundir?klo keluarganya peduli sma kim sae ron sya yakin ria nda akan bundir?. N qta tidak tau apa mereka beneran berhubungan asmara karena hnya sebuah foto? Karena bah permukaan kadang berbeda dengan isi dlmnya. q bukan fans ksh ya tpi ya klo berita viral n bikin almrh nda tenang? Dengar guys ini berita media bnyk hal2 yg berbeda terjadi utk menjatuhkan sesorg. Karena ksh dri kalangan org miskin n yg suka sma dia tu pasti bnyk masaklah dia pacaran sma minor. N dia mabuk saat menyetir pasti ada alasan knpa dia melakukan hal itu.semoga semua nya cepat clear ya.
@Aifunart,2025-03-13T22:20:58Z,"Kim saeron harusnya hidup di indonesia, semakin viral semakin gampang cari kerja.."
@Ika_Ristiana,2025-03-13T22:04:25Z,"Untung gak ngefans sm artis manapun. Sekedar menikmati aktingnya drama/film aja. Gak kepo sm real life mereka. Jadi gak ikut²an ngomentari hidup mereka. Mau kawin, cerai or bund*r mah bomat. Cuma sbg penonton aja.."
@blackbird_898,2025-03-13T21:54:06Z,😭😭😭
@lovlyleva4705,2025-03-13T21:51:30Z,"Sy ber opini dalam segi percintaan, cinta itu emang buta,,, apalagi jatuh cinta nya dimasa remaja dimana pikirannya msh polos, naif. Apalagi sosok yg disukai itu rupawan, bahkan artis. Mgkin dlm sisi ksr muda itu adalah keberuntungan. Aplagi dari kluarga broken home, ksr butuh kasih sayang yg mgkin kurang dari orgtua (khususnya ayah). Jadi begitu dekat dgn ksh yg lebih dewasa membuat ksr nyaman & mendapatkan perhatian serta cinta. Kasus percinta macam ini sebenernya banyak di sekitar kita. Cuma memang di korea itu merupakan hal ilegal. Entah itu dibilang grooming sehingga bisa mengarah p*d*f*l. Kesalahan yg menimpa mendiang ksr sehingga dihujat mgkin adalah titik terendah hidupnya apalagi ditambah dia udah putus dari ksh, kariernya mandek. Bahkan banyak media menyudutkan. Ditambah lagi ditagih uang yg katanya ""bantuan"" Dari mantan pacar buat ganti rugi kasusnya dulu. Jgnkan artis, bahkan org biasa kalau mengalami kejadian buruk terus menerus seperti ini akan depresot juga. Gk kebayang sich sakit banget hatinya ksr,, dulu dibucinin selama 6 tahun, trus putus, diakhiri masa kontrak sama agensi, di kasih bantuan uang tapi nagihnya kayak renternir disaat gk punya proyek drama/film, dihujat netizen, di intilin reporter sehingga kehidupan pribadinya terekspose, bahkan gk bisa menghubungi mantan pacar. Semoga kasus ini mendapat keadilan."
@ABacademy-e9r3q,2025-03-13T21:30:31Z,Ini KSH gak jebak KSR kan supaya kena kasus DUI 😢
@skxt_857,2025-03-13T21:29:40Z,"aku itu heran dan keselnya netizen ini muka dua banget 😭 waktu itu pas QOT lagi booming2nya saeron post story foto bareng KSH langsung di hate dibilang caper lah, perusak lah, ini itu krn ngeship KSH sama KJW. Sekarang setelah KSR udah ngga ada sok sok an paling kasian 😂"
@InsaneFacts_YT,2025-03-13T21:27:40Z,sad news jisso incident https://youtu.be/yuqOBCiYCbc
@taeyongluvv_9437,2025-03-13T21:27:18Z,"Dari kasus KSR jadi kebuka keburukan KSH 
1. Pedofil,dia nafsu sama anak"" yang masih muda bahkan umur 15 tahun contoh nya KSR
2. Terungkap foto vulgar KSH cuman pakai CD dan ada foto kalau di sebelah KSH temen nya mainin alat kelamin
3. Hutangnya KSR yang 700.000 won/7 miliar itu sebenarnya sama won bin mau di bayar cuman sama pihak KSH nya gak mau"
@ryu662,2025-03-13T21:23:40Z,"Kalau kataku sih emang beneran pernah pacaran kok itu. Mungkin saeron sendiri akhirnya mutusin bundir karena udah depresi banget. satu sisi ditagih hutang yang jumlahnya banyak, tapi sisi lain dia udah ga punya kerjaan yang bisa memudahkan dia membayar hutang dengan cepat. 
Menurutku keterlaluannya gold medalist disitu, kenapa ga ngasih waktu pelunasan hutang yang sesuai dengan kondisi saeronnya saat itu.

Apalagi di awal perintisan gold medalist banyak dibantu, seharusnya malahan ga usah nagih. Toh dulu jg tenaga saeron ga dibayar dengan layak.

Kalau misal bener sejahat itu gold medalist dan kim soo hyun, udah paling cocok karirnya kena cancel culture sih... 
Image baikmu selama ini hanya karanganmu ya KSH"
@Deadanila04,2025-03-13T21:15:31Z,"Gak kebayang deh depresi'nya KSR usia semuda itu punya hutang 7M dan gak ada yg bisa diminta bantuan , gak punya pekerjaan juga 😢😢"
@taniafeb-yu1ss,2025-03-13T21:07:04Z,Gilaaa sekalinya ada skandal begini lu ahhhhh sakit
