username,published_at,comment,bahasa,comment_clean,tokenized,unique_tokens,remove_stopwords,stemmed,terms
@Supani-ej9iy,2025-03-13T04:52:35Z,"pantes dari dulu saya ga suka sama kim soohyun...biasa aja dia. heran gw sama wartawannya,,,jahat bgt ya ngebuly org ampe kayak gt",id,pantas dari dulu saya enggak suka sama kim soohyunbiasa saja dia heran gue sama wartawannyajahat banget ya ngebuly orang sampai kayak begitu,"['pantas', 'dari', 'dulu', 'saya', 'enggak', 'suka', 'sama', 'kim', 'soohyunbiasa', 'saja', 'dia', 'heran', 'gue', 'sama', 'wartawannyajahat', 'banget', 'ya', 'ngebuly', 'orang', 'sampai', 'kayak', 'begitu']","['orang', 'soohyunbiasa', 'suka', 'dia', 'banget', 'dulu', 'begitu', 'dari', 'enggak', 'wartawannyajahat', 'sama', 'saja', 'kim', 'saya', 'heran', 'pantas', 'ya', 'sampai', 'ngebuly', 'kayak', 'gue']","['orang', 'soohyunbiasa', 'suka', 'banget', 'wartawannyajahat', 'kim', 'heran', 'ngebuly', 'kayak', 'gue']","['orang', 'soohyunbiasa', 'suka', 'banget', 'wartawannyajahat', 'kim', 'heran', 'ngebuly', 'kayak', 'gue']",orang soohyunbiasa suka banget wartawannyajahat kim heran ngebuly kayak gue
@tikacpi7828,2025-03-13T04:41:18Z,"Dr sisi keluarga, gak dibahas ? Knpa baru teriak2 skg. Tau anaknya pacaran di bawah umur diem2 aja, apa krn faktor financial? Jadi tulang punggung keluarga, pendapatan turun, jelaslah ksr bingung",id,dari sisi keluarga enggak dibahas kenapa baru teriak sekarang tau anaknya pacaran di bawah umur diam saja apa karena faktor financial jadi tulang punggung keluarga pendapatan turun jelaslah ksr bingung,"['dari', 'sisi', 'keluarga', 'enggak', 'dibahas', 'kenapa', 'baru', 'teriak', 'sekarang', 'tau', 'anaknya', 'pacaran', 'di', 'bawah', 'umur', 'diam', 'saja', 'apa', 'karena', 'faktor', 'financial', 'jadi', 'tulang', 'punggung', 'keluarga', 'pendapatan', 'turun', 'jelaslah', 'ksr', 'bingung']","['pendapatan', 'ksr', 'teriak', 'tau', 'bawah', 'kenapa', 'dari', 'enggak', 'tulang', 'jelaslah', 'sekarang', 'anaknya', 'saja', 'jadi', 'diam', 'financial', 'karena', 'punggung', 'turun', 'sisi', 'bingung', 'faktor', 'di', 'dibahas', 'keluarga', 'baru', 'pacaran', 'apa', 'umur']","['pendapatan', 'ksr', 'teriak', 'tau', 'tulang', 'anaknya', 'diam', 'financial', 'punggung', 'turun', 'sisi', 'bingung', 'faktor', 'dibahas', 'keluarga', 'pacaran', 'umur']","['dapat', 'ksr', 'teriak', 'tau', 'tulang', 'anak', 'diam', 'financial', 'punggung', 'turun', 'sisi', 'bingung', 'faktor', 'bahas', 'keluarga', 'pacar', 'umur']",dapat ksr teriak tau tulang anak diam financial punggung turun sisi bingung faktor bahas keluarga pacar umur
@arhyfa7453,2025-03-13T04:41:04Z,Aku ngefans sama kim saeron baru tau hari ini kalo sudah meninggal😭😭,id,aku fan sama kim saeron baru tau hari ini kalo sudah meninggal,"['aku', 'fan', 'sama', 'kim', 'saeron', 'baru', 'tau', 'hari', 'ini', 'kalo', 'sudah', 'meninggal']","['sama', 'kalo', 'baru', 'aku', 'tau', 'hari', 'ini', 'meninggal', 'fan', 'sudah', 'kim', 'saeron']","['kalo', 'tau', 'meninggal', 'fan', 'kim', 'saeron']","['kalo', 'tau', 'tinggal', 'fan', 'kim', 'saeron']",kalo tau tinggal fan kim saeron
@leeisyame,2025-03-13T04:29:06Z,Emang paling bener klu berita dri korea nungguin dijelasin mas hansol. Ditunggu yo mas update'e,id,memang paling benar kalau berita dari korea menunggu dijelasin mas hansol ditunggu ya mas updatee,"['memang', 'paling', 'benar', 'kalau', 'berita', 'dari', 'korea', 'menunggu', 'dijelasin', 'mas', 'hansol', 'ditunggu', 'ya', 'mas', 'updatee']","['updatee', 'mas', 'ya', 'memang', 'benar', 'paling', 'dijelasin', 'kalau', 'korea', 'dari', 'berita', 'menunggu', 'hansol', 'ditunggu']","['updatee', 'mas', 'dijelasin', 'korea', 'berita', 'menunggu', 'hansol', 'ditunggu']","['updatee', 'mas', 'dijelasin', 'korea', 'berita', 'tunggu', 'hansol', 'tunggu']",updatee mas dijelasin korea berita tunggu hansol tunggu
@Lily_585,2025-03-13T04:26:08Z,"Klo emng bener kasian bgt sih KSR, pdhl dia cmn mau minta keringanan bayar hutangnya tpi ga ada jawaban dri KSH",id,kalo memang benar kasihan banget sih ksr padahal dia cuman mau meminta keringanan bayar hutangnya tapi enggak ada jawaban dari kasih,"['kalo', 'memang', 'benar', 'kasihan', 'banget', 'sih', 'ksr', 'padahal', 'dia', 'cuman', 'mau', 'meminta', 'keringanan', 'bayar', 'hutangnya', 'tapi', 'enggak', 'ada', 'jawaban', 'dari', 'kasih']","['cuman', 'ksr', 'memang', 'dia', 'banget', 'bayar', 'dari', 'enggak', 'kalo', 'kasih', 'jawaban', 'sih', 'tapi', 'hutangnya', 'mau', 'kasihan', 'padahal', 'ada', 'benar', 'keringanan', 'meminta']","['cuman', 'ksr', 'banget', 'bayar', 'kalo', 'kasih', 'sih', 'hutangnya', 'kasihan', 'keringanan']","['cuman', 'ksr', 'banget', 'bayar', 'kalo', 'kasih', 'sih', 'hutang', 'kasihan', 'ringan']",cuman ksr banget bayar kalo kasih sih hutang kasihan ringan
@honeybread94,2025-03-13T04:22:59Z,kasian banget kim sae ronnn :(,id,kasihan banget kim sae ronnn,"['kasihan', 'banget', 'kim', 'sae', 'ronnn']","['banget', 'sae', 'ronnn', 'kasihan', 'kim']","['banget', 'sae', 'ronnn', 'kasihan', 'kim']","['banget', 'sae', 'ronnn', 'kasihan', 'kim']",banget sae ronnn kasihan kim
@UcikawaYoonami,2025-03-13T04:21:23Z,"Pas denger terjemahan SMS nya Saeron kyk Nyesek bgt keadanya,,,ky dia udah terpojok g bisa ngapain2 masih diancam,,,dia pasti frustasi dan depresi sekalii😢😢😢",id,pas dengar terjemahan sms nya saeron kayak menyesak banget keadanyaky dia sudah terpojok enggak bisa mengapai masih diancamdia pasti frustasi dan depresi sekali,"['pas', 'dengar', 'terjemahan', 'sms', 'nya', 'saeron', 'kayak', 'menyesak', 'banget', 'keadanyaky', 'dia', 'sudah', 'terpojok', 'enggak', 'bisa', 'mengapai', 'masih', 'diancamdia', 'pasti', 'frustasi', 'dan', 'depresi', 'sekali']","['dengar', 'frustasi', 'dia', 'banget', 'depresi', 'enggak', 'masih', 'dan', 'pasti', 'sekali', 'keadanyaky', 'saeron', 'pas', 'terjemahan', 'terpojok', 'nya', 'diancamdia', 'sms', 'mengapai', 'bisa', 'kayak', 'sudah', 'menyesak']","['dengar', 'frustasi', 'banget', 'depresi', 'keadanyaky', 'saeron', 'pas', 'terjemahan', 'terpojok', 'nya', 'diancamdia', 'sms', 'mengapai', 'kayak', 'menyesak']","['dengar', 'frustasi', 'banget', 'depresi', 'keadanyaky', 'saeron', 'pas', 'terjemah', 'pojok', 'nya', 'diancamdia', 'sms', 'kapai', 'kayak', 'sesak']",dengar frustasi banget depresi keadanyaky saeron pas terjemah pojok nya diancamdia sms kapai kayak sesak
@Awddicted,2025-03-13T04:19:58Z,"Pasangan beda 12 tahun tidak masalah, tapi kalau dimulai di umur 15 tahun jatuhnya grooming ya 🙈",id,pasangan beda tahun tidak masalah tapi kalau dimulai di umur tahun jatuhnya grooming ya,"['pasangan', 'beda', 'tahun', 'tidak', 'masalah', 'tapi', 'kalau', 'dimulai', 'di', 'umur', 'tahun', 'jatuhnya', 'grooming', 'ya']","['dimulai', 'ya', 'pasangan', 'tahun', 'tapi', 'masalah', 'beda', 'kalau', 'tidak', 'grooming', 'jatuhnya', 'umur', 'di']","['pasangan', 'beda', 'grooming', 'jatuhnya', 'umur']","['pasang', 'beda', 'grooming', 'jatuh', 'umur']",pasang beda grooming jatuh umur
@kikiekharisma,2025-03-13T04:14:57Z,Pas bgt lg nyri2 soal ini.. krn masih blm pham bgt. Untung korea reomit bahas..,id,pas banget lagi nyri soal ini karena masih belum pham banget untung korea reomit bahas,"['pas', 'banget', 'lagi', 'nyri', 'soal', 'ini', 'karena', 'masih', 'belum', 'pham', 'banget', 'untung', 'korea', 'reomit', 'bahas']","['pas', 'soal', 'karena', 'reomit', 'nyri', 'pham', 'lagi', 'banget', 'ini', 'korea', 'untung', 'belum', 'bahas', 'masih']","['pas', 'reomit', 'nyri', 'pham', 'banget', 'korea', 'untung', 'bahas']","['pas', 'reomit', 'nyri', 'pham', 'banget', 'korea', 'untung', 'bahas']",pas reomit nyri pham banget korea untung bahas
@jaya12199,2025-03-13T04:13:43Z,Udah kyk cerita manhwa yg cowo mcnya ternyata jahat dan cewenya meninggal lalu kembali waktu.,id,sudah kayak cerita manhwa yang cowok mcnya ternyata jahat dan cewenya meninggal lalu kembali waktu,"['sudah', 'kayak', 'cerita', 'manhwa', 'yang', 'cowok', 'mcnya', 'ternyata', 'jahat', 'dan', 'cewenya', 'meninggal', 'lalu', 'kembali', 'waktu']","['dan', 'mcnya', 'yang', 'jahat', 'manhwa', 'kayak', 'cewenya', 'meninggal', 'lalu', 'kembali', 'sudah', 'cowok', 'cerita', 'waktu', 'ternyata']","['mcnya', 'jahat', 'manhwa', 'kayak', 'cewenya', 'meninggal', 'cowok', 'cerita']","['mcnya', 'jahat', 'manhwa', 'kayak', 'cewenya', 'tinggal', 'cowok', 'cerita']",mcnya jahat manhwa kayak cewenya tinggal cowok cerita
